59, 관광펜션업, 2012-10-25,폐업, 폐업, 경상북도 경주시 하동 256-2번지, 38126, 
60, 관광펜션업, 2012-11-06,폐업, 폐업, 경상북도 경주시 양남면 수렴리 83번지, 38220, 
61, 관광펜션업, 2013-10-08,폐업, 폐업, 경상북도 경주시 하동 740-6번지, 38126, 229.82
62, 관광펜션업, 2013-11-14,폐업, 폐업, 경상북도 경주시 하동 83-13번지, 38126, 218.6
63, 관광펜션업, 2014-06-18,폐업, 폐업, 경상북도 경주시 진현동, 38127, 85.08
64, 관광펜션업, 2014-06-18,폐업, 폐업, 경상북도 경주시 하동, 780-430, 104.82
65, 관광펜션업, 2014-07-16,폐업, 폐업, 경상북도 경주시 하동, 38126, 131.75
66, 관광펜션업, 2014-03-07,폐업, 폐업, 경상북도 울릉군 울릉읍 사동리 383-18번지, 799-803, 245.79
67, 관광펜션업, 2011-06-13,폐업, 폐업, 경상북도 의성군 다인면 달제리 326-1번지, , 
68, 관광펜션업, 2014-03-21,폐업, 폐업, 경상북도 청송군 부동면 하의리 220-1번지, 37437, 228.68
69, 관광펜션업, 2014-07-21,폐업, 폐업, 인천광역시 옹진군 덕적면 서포리 310-3번지, 409-892, 303
70, 관광펜션업, 2004-04-03,폐업, 폐업, 충청남도 보령시 신흑동 946-4번지, 33490, 968.88
71, 관광펜션업, 2010-05-18,폐업, 폐업, 충청남도 보령시 신흑동 2213-13번지, 33489, 310.72
72, 관광펜션업, 2010-08-18,폐업, 폐업, 충청남도 보령시 신흑동 2260-6번지, 33489, 336.99
73, 관광펜션업, 2011-03-14,폐업, 폐업, 충청남도 보령시 신흑동 2260-1번지, 33489, 436.32
74, 관광펜션업, 2011-07-06,폐업, 폐업, 충청남도 보령시 신흑동 2219-4, 33489, 397.99
75, 관광펜션업, 2012-02-10,폐업, 폐업, 충청남도 보령시 신흑동 2220-1, 355-943, 280.65
76, 관광펜션업, 2012-11-12,폐업, 폐업, 충청남도 보령시 신흑동 2213-7번지, 33489, 206.52
77, 관광펜션업, 2012-11-27,폐업, 폐업, 충청남도 보령시 신흑동 2219-3번지, 355-943, 295.26
78, 관광펜션업, 2012-12-20,폐업, 폐업, 충청남도 보령시 신흑동 2219-7번지, 33489, 440.85
79, 관광펜션업, 2012-05-31,폐업, 폐업, 충청남도 논산시 벌곡면 수락리 287-2번지, , 
80, 관광펜션업, 2017-06-07,폐업, 폐업, 충청남도 논산시 벌곡면 도산리 90번지, 33028, 490.45
81, 관광펜션업, 2013-05-28,폐업, 폐업, 충청남도 보령시 신흑동 2303-2번지, 355-943, 314.17
82, 관광펜션업, 2013-07-01,폐업, 폐업, 충청남도 보령시 신흑동 2302-7, 33488, 380.04
83, 관광펜션업, 2013-07-05,폐업, 폐업, 충청남도 보령시 신흑동 2302-12번지, 33488, 378.84
84, 관광펜션업, 2007-08-09,폐업, 폐업, 경기도 여주시 금사면 이포리 13-3번지, , 225.89
85, 관광펜션업, 2019-04-29,폐업, 폐업, 충청남도 청양군 대치면 광대리 268-7, 33344, 0
86, 관광펜션업, 2010-08-31,폐업, 폐업, 부산광역시 기장군 장안읍 장안리 106-1번지, 46028, 143.26
87, 관광펜션업, 2010-12-09,폐업, 폐업, 전라북도 고창군 고창읍 월암리 373-1번지, 585-805, 
88, 관광펜션업, 2017-12-20,폐업, 폐업, 전라북도 정읍시 신정동 1590 내장산리조트관광단지팬션, 56212, 392.24
89, 관광펜션업, 2009-06-16,폐업, 폐업, 전라북도 부안군 진서면 진서리 31-83번지, 56345, 
90, 관광펜션업, 2012-11-27,폐업, 폐업, 전라북도 무주군 설천면 심곡리 567-1번지, 55555, 495
91, 관광펜션업, 2012-11-09,폐업, 폐업, 전라북도 부안군 변산면 도청리 535-1번지, 579-853, 229.41
92, 관광펜션업, 2014-12-08,폐업, 폐업, 전라북도 무주군 설천면 심곡리 463-2번지, 55555, 22537
93, 관광펜션업, 2010-08-04,폐업, 폐업, 전라북도 무주군 설천면 삼공리 318-1번지, , 173.98
94, 관광펜션업, 2010-08-05,폐업, 폐업, 전라북도 무주군 설천면 삼공리 742-4번지, , 267.82
95, 관광펜션업, 2010-08-10,폐업, 폐업, 전라북도 무주군 무풍면 삼거리 46-39번지, , 155.39
96, 관광펜션업, 2011-04-22,폐업, 폐업, 전라북도 무주군 설천면 심곡리 567-1번지, , 490.8
